Level,Sentence,level_id,tense,tense_id
A1,Delpire died in Paris on 26 September 2017 in Paris at the age of 91 .,0,past simple,23
A1,Harris died on 9 May 2019 ; at the age of 93 .,0,past simple,23
A1,Long died on January 15 ; 2017 ; at the age of 63 .,0,past simple,23
A1,Matos died on 8 June 2019 .,0,past simple,23
A1,Pazos died on 24 May 2019 ; at the age of 89 .,0,past simple,23
A1,English died on November 16 ; 2018 in London at the age of 81 .,0,past simple,23
A1,Earth is very old .,0,present simple,15
A1,Lamarck died in Paris in 1829 .,0,past simple,23
A1,The team 's colors are red and white .,0,present simple,15
A1,He died on 26 September 2017 in Paris at the age of 91 .,0,past simple,23
A1,He died on October 2 ; 2005 in New York City ; U.S.,0,past simple,23
A1,She died on June 9 ; 2014 ; at the age of 103 .,0,past simple,23
A1,Stubing died on 3 July 2017 in Rome ; age 76 .,0,present simple,15
A1,She died on 12 February 2019 ; at the age of 79 .,0,past simple,23
A1,Pius V died on 1 May 1572 .,0,past simple,23
A1,He died on 3 May 2015 ; aged 84 ; after a long illness .,0,past simple,23
A1,He died on 6 January 2015 ; aged 82 .,0,past simple,23
A1,Burns died on 25 May 2019 ; at the age of 99 .,0,past simple,23
A1,He died on 18 October 2017 .,0,past simple,23
A1,He died on 4 August 2018 .,0,past simple,23
A1,He has many works .,0,present simple,15
A1,Bopp died on January 6 ; 2018 at the age of 68 .,0,past simple,23
A1,He died on 12 May 2019 at the age of 80 .,0,past simple,23
A1,He died on 9 May 2019 at the age of 93 .,0,past simple,23
A1,Rooth died in Sweden on 27 February 1972 .,0,past simple,23
A1,Moody died in hospital on 11 June 2015 ; aged 91 .,0,past simple,23
A1,Winters died on 23 April 2019 ; at the age of 80 .,0,past simple,23
A1,The DVD was released on October 10 ; 2006 .,0,past simple passive,22
A1,Wass died on 4 January 2017 in London at the age of 93 .,0,past simple,23
A1,Wass died on 4 January 2017 at the age of 93 .,0,past simple,23
A1,Ryman died on February 8 ; 2019 ; at the age of 88 .,0,past simple,23
A1,Alsop died on 12 May 2018 at the age of 70 .,0,past simple,23
A1,Thomas died on April 30 ; 2016 ; at the age of 91 .,0,past simple,23
A1,He died ; aged 80 ; on 22 July 2014 .,0,past simple passive,22
A1,He died ; aged 80 on 23 July ; 2014 .,0,past simple passive,22
A1,Beutel died on 8 May 2019 aged 72 .,0,past simple,23
A1,Ballet died on January 2 ; 2017 ; at the age of 88 .,0,past simple,23
A1,Ballet died on 2 January 2017 at the age of 88 .,0,past simple,23
A1,Treacher died in April 2018 at the age of 93 .,0,past simple,23
A1,Treacher died on 30 April 2018 at the age of 93 .,0,past simple,23
A1,Trass died on 14 February 2017 ; at the age of 88 .,0,past simple,23
A2,There are various reasons as to why children do not attend school in Japan .,1,present simple,15
A1,Australia has often made special 50 - cent coins .,0,present perfect,13
A2,The area was settled in 972 .,1,past simple passive,22
A2,The museum also has a small Asian collection .,1,present simple,15
A2,Fathers and sons who have been featured on the cover,1,present perfect passive,12
A2,Caps and goals updated as of June 29 ; 2019 .,1,past simple,23
A1,There have been a number of .,0,present perfect,13
A2,He was part of the American basketball team ; which won the gold medal .,1,past simple,23
A2,In 1870 the river flooded .,1,past simple,23
A2,The history of traditional sports is ancient .,1,present simple,15
A1,It was released as two -part movie on 8 May and 9 May 1980 .,0,past simple passive,22
A2,The town has four doctors and one pharmacy .,1,present simple,15
A1,The main trains used on the line is Class 375 Electrostars .,0,present simple,15
A2,Rise Up takes place every year from December 28 to January 1 .,1,present simple,15
A2,Originally ; it was practiced in religion .,1,past simple passive,22
A2,Silenti was struck by a car on 31 October 2014 in Rome ; Italy .,1,past simple passive,22
A2,Theaters is the number of theaters in which the movie is being shown .,1,present simple,15
A2,It begins 4;750 years before the Gregorian calendar .,1,present simple,15
A2,Bangladesh played their first test match on 10 November 2000 .,1,past simple,23
A2,The film was released on VHS in 1989 ; and on DVD in 2004 .,1,past simple passive,22
A2,Teams begin training camps in September .,1,present continuous,11
A2,He was a candidate for President of Ireland in the October 2011 election .,1,past simple,23
A2,His first discovery was the asteroid 267 Tirza in 1887 .,1,past simple,23
A2,The city is divided into two parts by the river Ebro .,1,present simple passive,14
A2,There are many different kinds of intelligence tests that use many methods .,1,present simple,15
A1,The song was released in November 2013 .,0,past simple passive,22
A2,The game has now spread around the cricket world .,1,present perfect,13
A1,Their first world tour took place in October 1998 .,0,past simple,23
A1,It is often used on soil .,0,present simple passive,14
A2,Most stars are between 1 billion and 10 billion years old .,1,present simple,15
A2,The experiment began late July 2009 .,1,past simple,23
A2,MacNeil died after a short-illness ; aged 86 .,1,past simple passive,22
A2,The first settlements date from 1500 BC .,1,present simple,15
A2,Skis for women must be at least 200 cm long .,1,future simple,7
A2,There are differences between the two sets of dates .,1,present simple,15
A2,JRL will start opening in 3 phases from 2026 to 2028 .,1,future simple,7
A2,Bears do not have good hearing .,1,present simple,15
A2,There are about 150 plant species on the island ; along with 80 types of insects .,1,present simple,15
A2,Dotrice died on 16 October 2017 in London at the age of 94 .,1,past simple,23
A2,In the United States ; each state has its own laws .,1,present simple,15
A2,The state is divided into three divisions .,1,present simple passive,14
A1,Bridges longer than 100m .,0,present simple,15
A1,As of 20 ; 2019 .,0,present simple,15
A2,Three men are running along the riverside .,1,present continuous,11
A2,Sica died of a heart attack in Rome on 5 December 2014 ; aged 65 .,1,past simple,23
A2,As the 19th century moved on ; the city began to grow .,1,present simple,15
A1,India won the war .,0,past simple,23
A2,Lake died in London on 7 December 2016 ; at the age of 69 ; after suffering from cancer .,1,present simple,15
A2,Varda died of cancer on 29 March 2019 in Paris ; at the age of 90 .,1,past simple,23
A2,The other giant panda has dark brown and light brown fur .,1,present perfect,13
A2,Wistrich died of a heart attack on May 19 ; 2015 in Rome ; Italy .,1,past simple,23
A2,Clocks use different ways to measure time .,1,present simple,15
A2,The name became popular in culture .,1,past simple,23
A1,There is a guest house on the hill behind the main house .,0,present simple,15
A2,Skirton died on 11 or 12 May 2019 ; at the age of 80 .,1,past simple,23
A2,The group also had success in the United States .,1,past simple,23
A2,The album was a success in the United States .,1,past simple,23
A2,In the United States ; the game is played by a group of people .,1,present simple passive,14
A1,The group had many changes .,0,past simple,23
A2,It was active for 55 years ; until 1938 .,1,past simple,23
A2,He is married to since 1990 ; has four children .,1,present simple,15
A2,He was one of the world 's best swimmers in the 1920s .,1,past simple,23
A2,Yeoh died of a heart attack on 18 October 2017 at the age of 87 .,1,past simple,23
A1,He has made over 90 movies ; most of them were documentaries .,0,past simple,23
A2,He has edited and written many books and articles .,1,present perfect passive,12
A2,The red kangaroo is a very large kangaroo .,1,present simple,15
A2,On 5 August 2018 ; Barry died after a long battle with bone cancer ; aged 73 .,1,past simple passive,22
A2,There are different views about his early life .,1,present simple,15
A2,The floorball section was started in 1991 ..,1,past simple passive,22
A1,He died in Paris .,0,past simple,23
A2,O' Connell died on 28 June 2017 at the age of 94 .,1,past simple,23
A2,These are the newest types of exams .,1,present simple,15
A2,She was elected President in October 2007 .,1,past simple passive,22
A2,Skofterud was killed in a jet skiing accident on 29 July 2018 in Arendal ; Norway ; aged 38 .,1,present simple,15
A2,There was also a version played on television .,1,past simple passive,22
A1,was first shown in 2001 .,0,past simple passive,22
A2,Corals can be found all over the island .,1,future simple passive,6
A2,Title V includes various other extra rules .,1,present simple,15
A2,The book has been published every year since 1868 ; except between 1876 and 1885 .,1,present perfect passive,12
A2,The stone circle was set up between 2900 and 2600 BC .,1,past simple passive,22
A1,Hovey died on 6 January 2015 at the age of 82 .,0,past simple,23
A2,The forest contains at least 900 plant species .,1,present simple,15
A2,Peoples died on 4 August 2018 ; aged 70 .,1,past simple,23
A1,From 1975 a new thing is starting .,0,present continuous,11
A1,It was built in 1909 .,0,past simple passive,22
A1,The first stone church was built in during the 12th century .,0,past simple passive,22
A1,The town holds several festivals a year .,0,present simple,15
A2,The town holds a festival in May .,1,present simple,15
A2,The club also played floorball during the 1980s .,1,past simple,23
A1,In 2002 ; there were nearly 1500 students in the school .,0,past simple,23
A2,The movie was released on October 15 ; 2010 .,1,past simple passive,22
A2,Although he was one of the leading players of his time ; not much is known about his life .,1,present simple,15
A2,Elders died after a long illness on 3 May 2015 ; aged 84 .,1,past simple,23
A1,Winners are listed first .,0,present simple passive,14
A2,They feed on insects and fruit .,1,present simple,15
A1,The bridge is 2109 m long .,0,present simple,15
A2,Ditko died at his New York City apartment from a heart attack on June 29 ; 2018 at the age of 90 .,1,past simple,23
A1,Following people were members .,0,present simple,15
A2,Reynolds was a Professor of English for 44 years .,1,past simple,23
A1,Germans started arriving in 1828 .,0,present simple,15
A2,In addition ; he was worried about the Ruhr .,1,past simple passive,22
A2,The ball is made of plastic .,1,present simple passive,14
A2,According to Statistics Canada ; the county has a total area of 2004.44 km2 .,1,present simple,15
A2,It showed that 5;308;483 people were living in the United States .,1,present simple,15
A2,A small number of missing person cases are not solved for many years .,1,present simple,15
A2,Flower died on 2 October 2014 ; after a brief illness .,1,past simple,23
A2,There are also 3D jigsaw puzzles .,1,present simple,15
A2,English has changed and developed over time .,1,present perfect passive,12
A2,English has developed over the course of more than 1;400 years .,1,present perfect,13
A2,The election results of September 18 ; 2005 were surprising .,1,present simple,15
A1,iOS 6.1 was released on January 28 ; 2013 .,0,past simple passive,22
A2,The purpose of the event is to have the hardest shot .,1,present simple,15
A2,The final was held on 24 May 2008 .,1,past simple passive,22
A2,The final was held on 24 May 2008 and was won by Russia .,1,past simple passive,22
A1,This movie was released on May 15 ; 1992 .,0,past simple passive,22
A1,At the end of 2014 the population was 819 people ; in 344 families .,0,past simple,23
A1,In 2014 the population was 819 people .,0,past simple,23
A2,In May 2015 ; Brazil officially reported its first 16 cases of the illness .,1,past simple,23
A1,The first attack was made on January 17 .,0,past simple passive,22
A1,Combs can be used for many purposes .,0,future simple passive,6
A1,The restaurant closed down on September 9 ; 2000 .,0,past simple,23
A2,In February 1982 ; two television antennas were added to the tower .,1,past simple passive,22
A2,Gold and silver were found in the area in 1867 .,1,past simple passive,22
A2,The winning team gets 3 points .,1,present simple,15
A2,Pannella died on 19 May 2016 of lung and liver cancer in Rome ; aged 86 .,1,past simple,23
A2,The island is 34 km long and 15 km wide ; it has an area of 175 km2 .,1,present simple,15
A2,However ; several fishermen died since the 1980s .,1,past simple,23
A1,On August 10 ; a day of memorials began peacefully .,0,past simple,23
A2,Sometimes ; voice- tracking is done so that people can do other jobs .,1,present simple passive,14
A2,He started his acting career in the late 1990s ; appearing in a number of off -Broadway stage productions .,1,present simple,15
A2,Construction of the bridge began on March 17 ; 1952 .,1,past simple,23
A2,Construction of the bridge began on March 17 ; 1952 ; at a cost of $ 6.5 million .,1,past simple,23
A2,The President is limited to a single five -year term .,1,present simple passive,14
A2,As an example ; see the picture below : As one song ends ; the next song begins .,1,present simple,15
A2,The sea is mostly ice-covered .,1,present simple,15
A1,Murt died of cancer on 1 December 2014 ; aged 68 .,0,past simple,23
A2,Murt died from cancer in Barcelona ; Spain ; aged 68 .,1,past simple,23
A2,Some people keep them as a pet .,1,present simple,15
A2,Iran has an area of 1;648;000 square kilometres and is the sixteenth largest in size .,1,present simple,15
A2,He moved to Paris in 1802 where he spent the rest of his life .,1,past simple,23
A2,He died in 2005 at the age of 87 in New York City ; after suffering from cancer .,1,present simple,15
A2,The two teams have never played each other before .,1,present perfect,13
A2,The two teams had never met before .,1,past perfect,21
A2,Historically ; Latin or Romance has been the official language .,1,present perfect,13
A2,She died after a short illness on 15 May 2015 ; aged 86 .,1,past simple,23
A2,In the late 19th century ; Westerners knew little about Japan .,1,past simple,23
A2,One Billion Rising for Justice was in February 2014 .,1,present simple,15
A1,Grosics died on 13 June 2014 ; aged 88 .,0,past simple,23
A2,The port of the mosque measures 27 meters high .,1,present simple,15
A2,She turned 100 in September 2017 and died on 19 January 2018 .,1,past simple,23
A2,Gathering was the job of the women and children .,1,past simple,23
A2,The university has approximately 27;700 students and employs around 6;000 people .,1,present simple,15
A2,By the end of 2008 ; there were a total of 14 schools with about 9268 students .,1,past simple,23
A2,There are two temples .,1,present simple,15
A2,The speech lasted 40 minutes and 14 seconds .,1,past simple,23
A2,This system is found in other fish as well .,1,present simple passive,14
A1,This plant is easy to grow .,0,present simple,15
A2,Worldwide production of apples in 2013 was 90.8 million tonnes .,1,past simple,23
A2,The company also produces soft drinks .,1,present simple,15
A1,They also make some soft drinks .,0,present simple,15
A2,In 2007 ; Rose suffered a stroke .,1,past simple,23
A2,The oldest parts of the building date from 1094 .,1,present simple,15
A2,Casting has begun for a second season .,1,present perfect,13
A2,The sea is frozen over most of the year .,1,present simple passive,14
A2,Construction began on January 5 ; 1933 and was finished in April 1937 .,1,past simple,23
A1,Construction began on January 5 ; 1933 .,0,past simple,23
A2,Of his next nine fights ; Rose won eight .,1,past simple,23
A2,On 9 December ; it was confirmed that at least 80 foreign heads of state and government would travel to South Africa to attend events .,1,present simple,15
A2,Currently ; the Philippines is divided into 17 regions .,1,present simple passive,14
A2,Right now ; there are 62 cats for the player to collect .,1,present simple,15
A1,This movie was released in September of 2002 .,0,past simple passive,22
A2,The film was released on September 20 ; 2002 .,1,past simple passive,22
A2,In 2015 ; the aquarium had 2.02 million visitors .,1,past simple,23
A2,Many cultures or religions have food taboos .,1,present simple,15
A2,Usually ; the female builds the nest ; and the male helps her .,1,present simple,15
A1,She died after a long illness on 6 April 2014 at the age of 85 .,0,past simple,23
A1,She died after long illness on 6 April 2014 .,0,past simple,23
A2,The book was first published in 1975 ; then reprinted in 1976 .,1,past simple,23
A2,The book was first published in 1975 .,1,past simple passive,22
A2,He died on 12 July 2019 ; four days before his 85th birthday .,1,past simple,23
A2,Burns died on 25 May 2019 after a short illness .,1,past simple,23
A2,The song has been recorded by many other artists .,1,present perfect passive,12
A2,The song has been covered by number of artists .,1,present perfect passive,12
A1,Her career started in 1950 .,0,past simple,23
A2,The phrase is used in many contexts .,1,present simple passive,14
A2,At first ; during the 1820s and 1830s ; she just wrote for piano .,1,past simple,23
A2,He died 23 December 2018 at the age of 86 after a brief illness .,1,past simple,23
A2,The following table gives a summary of the different schedules .,1,present simple,15
A1,Puar died on 2 January 2015 following a short illness .,0,present simple,15
A2,Puar died after a short illness on 1 January 2015 ; aged 83 .,1,past simple,23
A2,The university 's 150th anniversary was celebrated in 2003 .,1,past simple passive,22
A2,The airport opened June 16 ; 1941 ; just before US entry into World War II .,1,past simple,23
A2,The airport opened on June 16 ; 1941 .,1,past simple,23
A1,The park was created on 12 June 1981 .,0,past simple passive,22
A2,Tickets went on sale to the public on November 3 ; 2007 .,1,past simple,23
A2,For the second season ; the show began to change .,1,present simple,15
