Level,Sentence,level_id,tense ,tense_id
A1,Can I have a bottle of water; please,0,present simple,15
A1,I'd like a cup of tea; please,0,present simple,15
A1,I didn't go to work yesterday; it was my day off,0,present simple,15
A1,Sachertorte is a kind of chocolate cake,0,present simple,15
A1,We watch a lot of films,0,present simple,15
A1,They wear a piece of wood on their heads,0,present simple,15
A1,She's an engineer and he's a chef,0,present simple,15
A1,I'm at work from 8 a.m. to 7 p.m,0,present simple,15
A1,Koko has an unusual ability: she understands language,0,present simple,15
A1,Tell me about your family,0,present simple,15
A1,Guests have 24-hour access to the hotel,0,present simple,15
A1,He died in a flying accident in 1869,0,past simple,23
A1,Matt Damon is a film actor and writer,0,present simple,15
A1,Ingrid Bergman was an actress from Sweden,0,past simple,23
A1,What is your home address,0,present simple,15
A1,The museum costs £5 for children and £10 for adults,0,present simple,15
A1,They both loved adventure,0,past simple,23
A1,Look at this job advert; it looks really interesting,0,present simple,15
A1,The train left an hour ago,0,past simple,23
A1,There is air conditioning in every room,0,present continuous,11
A1,The offices are near Ciampino Airport,0,present simple,15
A1,My name is Khalid. I'm from Algeria,0,present simple,15
A1,All the flats have got lovely balconies,0,present perfect,13
A1,The English alphabet has twenty-six letters,0,present simple,15
A1,I always buy my own clothes,0,present simple,15
A1,I am here on holiday,0,present simple,15
A1,Jenny's clothes are always amazing,0,present continuous,11
A1,She can't paint animals,0,future simple,7
A1,This is an announcement for passengers on flight FW1632,0,present simple,15
A1,You can have another room,0,future simple,7
A1,Apple juice is my favourite kind of juice,0,present simple,15
A1,I love the architecture in Manchester,0,present simple,15
A1,Are you here to study,0,present simple,15
A1,There's one dining area for all the students in the flat,0,present simple,15
A1,This is my friend Romina. She's from Argentina,0,present simple,15
A1,People have two arms and two legs,0,present simple,15
A1,I arrive in Barcelona at four o'clock,0,present simple,15
A1,Koko likes art,0,present simple,15
A1,This is an interesting article about people from history,0,present simple,15
A1,Emilie and Bruno are artists,0,present simple,15
A1,His dream was to be an astronaut,0,present simple,15
A1,Does she work at the weekend,0,present simple,15
A1,The atmosphere was great,0,past simple,23
A1,In autumn it isn't hot; but it is warm,0,present simple,15
A1,This apple is bad,0,present simple,15
A1,I like playing the guitar; but I play badly,0,present simple,15
A1,What's in the bag,0,present simple,15
A1,There's an amazing bakery; my favourite shop in Lewisburg,0,present simple,15
A1,Has each room got a balcony,0,past simple,23
A1,I always wear smart clothes in the week; because I work in a bank,0,present simple,15
A1,a bank. 30% of people in the world have got a bank account,0,present perfect,13
A1,Children walk with bare feet in the street,0,present simple,15
A1,When he has time; Matt Damon watches baseball,0,present simple,15
A1,When he has time; he plays basketball,0,present simple,15
A1,Has our room got a bath,0,past simple,23
A1,Each bathroom has got a shower and a toilet,0,present simple,15
A1,I want to be a doctor,0,present simple,15
A1,There are only four basic types of clothes,0,present simple,15
A1,At the weekend; Valentina goes to the beach,0,present simple,15
A1,It's a beautiful city,0,present simple,15
A1,I like people's clothes in London; because they are different,0,present simple,15
A1,The other bedroom has got a European bed,0,present simple,15
A1,It's only got one bedroom,0,present simple,15
A1,The Dolphin Research Project studies dolphins' behaviour,0,present simple,15
A1,Has your best friend got a pet,0,past simple,23
A1,Has your neighbour got a bicycle,0,past simple,23
A1,Mr Thompson is a teacher at a big school,0,present simple,15
A1,A customer left a $3;000 tip on an $88 bill,0,past simple,23
A1,Murphy's an amazing bird,0,present simple,15
A1,When is your birthday,0,present simple,15
A1,Would you like a biscuit,0,present simple,15
A1,I really like old black-and-white films,0,present simple,15
A1,She has a red top and blue jeans,0,present simple,15
A1,Where on the body does a Tuareg man wear a 'tagelmust',0,present simple,15
A1,The Chola women of Bolivia are famous for their style,0,present simple,15
A1,There are thirty students and fifteen books,0,present simple,15
A1,It looks great. Let's book it,0,present simple,15
A1,I work in a bookshop,0,present simple,15
A1,I'm always bored at the weekend,0,present simple passive,14
A1,I don't like watching football; it's really boring,0,present simple,15
A1,Bill Gates was the boss of Microsoft,0,past simple,23
A1,They wear big skirts and bowler hats,0,present simple,15
A1,I can't open this box,0,future simple,7
A1,The boy is her son,0,present simple,15
A1,The phone in my room is broken,0,present simple passive,14
A1,Andy and Anna are brother and sister,0,present simple,15
A1,They want to have brown skin,0,present simple,15
A1,What's the name of that building over there,0,present simple,15
A1,What time's the next bus,0,present simple,15
A1,A burger and chips; please,0,present simple,15
A1,I'm here on business,0,present simple,15
A1,Hi; Hannah. Are you busy on Saturday,0,present simple,15
A1,It's a hard job; but she's happy,0,present simple,15
A1,Where do I buy a ticket,0,present simple,15
A1,I'm probably not going to buy a house,0,present simple,15
A1,There's a café near the hotel,0,present simple,15
A1,Try the popular Tres Leches cake; made with three kinds of milk,0,present simple,15
A1,Call me when you get to the hotel,0,present simple,15
A1,Amy's father is called Lee,0,present simple passive,14
A1,Have your parents got a car,0,present simple,15
A1,Is there a hotel car park,0,present simple,15
A1,He also plays card games,0,present simple,15
A1,Wnek was a carpenter and had no school education,0,past simple,23
A1,I sometimes wear casual clothes,0,present simple,15
A1,My mother's got nine cats,0,past simple,23
A1,It's two dollars fifty cents,0,present simple,15
A1,The hotel is nice and it's near the city centre,0,present simple,15
A1,The Brothers Grimm lived in the 19th century,0,past simple,23
A1,There is a table and four chairs on each balcony,0,present simple,15
A1,Next year; she has a chance to go to Europe,0,present simple,15
A1,The Allianz Arena changes colour because different teams play there,0,present simple,15
A1,Are you going to change jobs next year,0,present simple,15
A1,The characters were real children from different places in England,0,past simple,23
A1,She works for a charity,0,present simple,15
A1,It's a good restaurant but it's not cheap,0,present simple,15
A1,When do you check emails,0,present simple,15
A1,Check-in is after 2 p.m,0,present simple,15
A1,Checkout is before 11 a.m,0,present simple,15
A1,Pedro isn't a student. He's a chef in a restaurant,0,present simple,15
A1,My aunt and uncle have got one child,0,present perfect,13
A1,They've got four children,0,present perfect,13
A1,Fish and chips is a traditional British dinner,0,present simple,15
A1,See you at the cinema at 6.15,0,present simple,15
A1,What city are you from,0,present simple,15
A1,The students in my class are really friendly,0,present simple,15
A1,The rooms in the hotel are clean,0,present simple,15
A1,She's a clever woman,0,present simple,15
A1,When do the shops close on Saturday,0,present simple,15
A1,At the weekend I usually wear sports clothes,0,present simple,15
A1,In winter it is cloudy and often rainy,0,present simple,15
A1,I don't know the code for the door,0,present simple,15
A1,This coffee is hot,0,present simple,15
A1,Was it cold in New York today,0,past simple,23
A1,They were interested in tales and started to collect them,0,present simple,15
A1,What's your favourite colour,0,present simple,15
A1,Their clothes are always really colourful,0,present simple,15
A1,Deborah often came to England to visit Clive,0,present simple,15
A1,We saw a comedian but he wasn't very funny,0,past simple,23
A1,I sometimes write comments on websites,0,present simple,15
A1,ENI is an electricity company in Rome,0,present simple,15
A1,He's here for a conference; but I'm on holiday,0,present simple,15
A1,Please contact me; so we can speak English to each other,0,present simple,15
A1,My partner cooks delicious food,0,present simple,15
A1,Normally the tip is between 10 and 20% of the cost of the meal,0,present simple,15
A1,How much does it cost,0,present simple,15
A1,It's very useful to have good computer skills,0,present simple,15
A1,What country are you from,0,present simple,15
A1,I sometimes have a chocolate croissant for breakfast,0,present simple,15
A1,There are towels in the cupboard,0,present simple,15
A1,Try a colourful cupcake with your coffee,0,present simple,15
A1,I'm a waiter in a café and I serve customers,0,present simple,15
A1,Do you cycle to work,0,present simple,15
A1,I can't dance very well,0,future simple,7
A1,Marichka and Mikolaj's daughter is ten,0,present simple,15
A1,Have a nice day,0,present simple,15
A1,In Denmark; 36% of people cycle to work; school or university,0,present simple,15
A1,My brother works in a big department store,0,present simple,15
A1,Emma is a clothes designer; too,0,present simple,15
A1,I'd like to have some dessert,0,present simple,15
A1,After their father died; life was very difficult,0,past simple,23
A1,We are twins; but we have very different lives,0,present simple,15
A1,Life was very difficult for them,0,past simple,23
A1,The flat has got a small bathroom; a kitchen and a dining room,0,present simple,15
A1,The bathroom is very dirty,0,present simple,15
A1,He's a doctor at a hospital in Cancún,0,present simple,15
A1,The films are important historical documents,0,present simple,15
A1,Sarah's got a friendly dog,0,past simple,23
A1,It's ten dollars,0,present simple,15
A1,Dolphins can understand about sixty words,0,future simple,7
A1,Would you like a doughnut or a biscuit,0,present simple,15
